number,name
HPD-073A,"APPLICANT
  PRE-ACCEPTANCE CHECKLIST (TRAINING DIVISION APPLICATION FORM)"
HPD-074A,PRESS PASS
HPD-075,PSYCHOLOGICAL EMERGENCY REPORT FORM
HPD-077,"POLICE
  GARAGE PARTS REQUISITION"
HPD-078,PHYSICAL FITNESS ACTIVITY
HPD-080,PHYSICIAN'S  FIRST REPORT
HPD-081,CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (CRS)
"HPD-081, Chinese",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (CHINESE)
"HPD-081, Chuukese",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (CHUUKESE)
"HPD-081, Ilokano",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (ILOKANO)
"HPD-081, Japanese",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (JAPANESE)
"HPD-081, Korean",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (KOREAN)
"HPD-081, Laotian",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (LAOTIAN)
"HPD-081, Marshallese",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (MARSHALLESE)
"HPD-081, Samoan",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (SAMOAN)
"HPD-081, Spanish",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (SPANISH)
"HPD-081, Tagalog",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (TAGALOG)
"HPD-081, Tongan",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (TONGAN)
"HPD-081, Vietnamese",CONSTITUTIONAL RIGHTS - ADULT INTERROGATION (VIETNAMESE)
HPD-083,PROPERTY RECEIPT (CRS)
HPD-084,"FIREARMS
  INFORMATION FORM - OUT-OF-STATE ACQUISITION, ETC."
HPD-084A,"FIREARMS
  INFORMATION FOR MOTION PICTURE OR TV PROGRAM PRODUCTION"
HPD-085,HPD BODY-WORN CAMERA EQUIPMENT MALFUNCTION FORM
HPD-085A,HPD BODY WORN CAMERA ASSESSMENT PROGRAM
HPD-089,MEDICAL INFORMATION WAIVER
HPD-090,FIREARM  PHOTOGRAPH AND FINGERPRINT RECORD
HPD-091,"GRAPHIC
  ARTIST - REQUEST FOR SERVICE"
HPD-096A,"DETECTIVE
  FACT SHEET"
HPD-099,"SPECIAL
  POLICE COMMISSION - INFORMATION CARD"
HPD-100,"AUTHORIZATION
  TO WITHDRAW TAPE HELD IN EVIDENCE"
HPD-101,STATEMENT  OF RECEIPT OF DETAINEE'S PROPERTY
HPD-101A,DETAINEE EXCESS PROPERTY FORM
HPD-102,APPLICATION  FOR A SPECIAL OFFICER COMMISSION
HPD-103,"DAILY
  TRUANCY LOG"
HPD-103A,"TRUANCY
  REPORT SUMMARY"
HPD-103C,"TRUANCY
  RECORD"
HPD-105,ARSENAL  ISSUANCE CARD
HPD-107B,HONOLULU POLICE DEPARTMENT CRIME ANALYSIS REQUEST (CRS)
HPD-108D,MVA REPORT  - MINOR MOTOR VEHICLE COLLISION REPORT (CRS)
HPD-109,"ARMORY
  CHECK"
HPD-112A,"SHOOTING
  GALLERY - APPLICATION FOR PERMIT"
HPD-114,"ROADBLOCK
  INFORMATION"
HPD-115,INDIVIDUAL PROPERTY RECEIPT (First Issue)
HPD-115A,INDIVIDUAL PROPERTY RECEIPT (Replacement Issue)
HPD-115C,SSD INDIVIDUAL PROPERTY RECEIPT
HPD-115D,ITD INDIVIDUAL PROPERTY RECEIPT
HPD-115E,ITD INDIVIDUAL PROPERTY RECIEPT (Continuation Sheet)
HPD-115F,TRAFFIC  DIVISION INDIVIDUAL PROPERTY RECEIPT
HPD-116,"DEFACED
  VEHICLE AND/OR PARTS"
HPD-117,"EARNED
  OVERTIME"
HPD-118,PERSONAL  HISTORY FILE
HPD-121,NOTICE OF DISCIPLINARY ACTION
HPD-123,DETAINEE TELEPHONE LOG
HPD-130,NARCOTICS WITHDRAWAL FOR TRAINING REQUEST
HPD-131,"FIREARMS -
  APPLICATION FOR PERMIT TO ACQUIRE FIREARMS"
HPD-131A,"APPLICATION
  FOR A PERMIT ALLOWING ALIENS TO CARRY FIREARMS"
HPD-131B,"FIREARM
  APPLICATION QUESTIONNAIRE"
